Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate
CGO US,Calamos Global Total Return Fu,,,,120.0,0.0,15.0,0.0,0.0,2005-10-27,128118106,,120.0,0.0,10.2099,1002980.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,3.93,0.201207243460752,74.2,5.0
CGRN US,Capstone Green Energy Corp,2.9,-29.0,-18.8,145.455,74.894,16.0,199.9023438,1198.3,2000-06-29,14067D508,-1.8,145.455,74.894,21.8289,4001800.0,14 - 16,Priced Within Range,Industrial,Electrical Compo&Equip,Power Conv/Supply Equip,6.65,0.5247813411078819,106.4,4.0
CGROU US,Collective Growth Corp,,,-1.3,150.0,15.2625,10.0,-0.400000006,152.625,2020-05-01,19424L200,-0.1,150.0,15.2625,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.05,0.0019501616684046,72.3,13.2
CHAQ/U US,Renovacor Inc,,,-16.7,86.226,10.7476,10.0,-0.200000003,106.25,2020-04-24,15957T206,-1.5,86.226,10.7476,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.06,-0.668694186699718,71.8,14.8
CHCI US,Comstock Holding Cos Inc,38.2,43.7,11.5,72.864,7.93317,16.0,4.6875,126.93,2004-12-14,205684202,0.9,72.864,7.93317,7.82868,724113.0,14 - 16,Priced Within Range,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,2.04,-0.3664921465968529,97.1,5.4
CHCT US,Community Healthcare Trust Inc,19.6,24.8,2.9,136.562,7.5112,19.0,3.947368383,142.713,2015-05-21,20369C106,2.4,136.562,7.5112,98.9326,25029100.0,19 - 21,Priced Within Range,Financial,REITS,REITS-Health Care,0.13,0.509723202549469,90.7,5.6
CHEF US,Chefs' Warehouse Inc/The,57.0,-0.2,3.0,155.25,22.0167,15.0,16.66666603,330.25,2011-07-28,163086101,-0.5,155.25,22.0167,105.881,40520900.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Wholesale/Distrib,0.08,0.0886045666793554,63.7,9.0
CHEV US,Cheviot Financial Corp,-5.7,5.2,0.1,43.8844,0.0,10.0,33.20000076,0.0,2004-01-06,16677X105,0.2,43.8844,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Central US,0.94,0.4883342376559899,103.8,5.7
CHFW/U US,Surrozen Inc,,,-47.3,92.0,9.2,10.0,-0.400000006,92.0,2020-11-19,N.A.,-1.9,92.0,9.2,22.8577,2202110.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,-0.0610627217844137,76.9,6.7
CHGG US,Chegg Inc,20.4,-0.1,10.3,187.5,81.7283,12.5,-22.55999947,1021.6,2013-11-13,163092109,1.9,187.5,81.7283,106.868,134095000.0,9.50 - 11.50,Priced Above Range,"Consumer, Non-cyclical",Commercial Services,Schools,0.08,-0.204242419052338,75.1,6.9
CHI US,Calamos Convertible Opportunit,,,,648.375,0.0,15.0,0.0,0.0,2002-06-26,128117108,,648.375,0.0,76.3043,56527200.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.79,0.055617352614023,92.4,5.8
CHKR US,Chesapeake Granite Wash Trust,75.8,75.2,82.0,380.0,46.75,19.0,-0.684210539,888.25,2011-11-11,165185109,,380.0,46.75,0.0315512,14750.2,19 - 21,Priced Within Range,Energy,Oil&Gas,Oil-US Royalty Trusts,0.08,-0.0843561330442059,63.7,8.6
CHM/U US,China Healthcare Acquisition C,,,-1.1,58.5093,0.0,6.0,1.0,0.0,2007-04-20,16939Q203,-0.080491,58.5093,0.0,,,6-Jun,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,5.3,0.649616268650889,87.1,4.5
CHMA US,Chiasma Inc,,-6761.2,-73.0,117.117,23.9294,16.0,25.0,382.87,2015-07-16,16706W102,-1.4,117.117,23.9294,28.9255,18278300.0,13 - 15,Priced Above Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.13,0.0067047159295661,93.1,5.2
CHMI US,Cherry Hill Mortgage Investmen,,25.8,1.2,130.0,7.5,20.0,-7.5,150.0,2013-10-04,164651101,2.7,130.0,7.5,20.6599,4336320.0,20 - 20,Priced Within Range,Financial,REITS,REITS-Mortgage,0.08,-0.2575283259804639,73.2,7.2
CHNG US,Change Healthcare Inc,12.6,-1.6,-0.7,640.714,124.761,13.0,15.38461494,1621.89,2019-06-27,15912K100,2.1,640.714,124.761,84.7774,278331000.0,16 - 19,Priced Below Range,Technology,Software,Medical Information Sys,2.4,0.0199147181481603,98.2,3.6
CHPMU US,CHP Merger Corp,,,9.0,300.0,30.0,10.0,0.5,275.0,2019-11-22,12558Y205,-0.0486758,300.0,30.0,14.6643,4399300.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,1.57,-0.0536243034669465,96.8,3.6
CHRA US,Charah Solutions Inc,26.1,-1.9,-6.2,88.2348,29.9465,12.0,0.0,359.358,2018-06-14,15957P105,-0.3,88.2348,29.9465,84.4976,28494000.0,16 - 18,Priced Below Range,Industrial,Environmental Control,Remediation Services,1.7,0.1593875701543719,98.2,4.0
CHRK US,Cherokee International Corp,,,-4.7,110.055,19.1791,14.5,13.79310322,278.1,2004-02-20,164450108,,110.055,19.1791,,,14-Dec,Priced Above Range,Industrial,Electrical Compo&Equip,Power Conv/Supply Equip,1.03,0.539956803455712,94.4,5.6
CHRS US,Coherus Biosciences Inc,-31.3,-87.9,-43.1,91.85,32.5594,13.5,-6.592592716,432.702,2014-11-06,19249H103,-0.5,91.85,32.5594,108.666,84518300.0,15-Dec,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.07,-0.5399417941061189,88.8,5.8
CHRXU US,CRC Parent Corp,,,0.3,58.65,10.625,6.0,3.166666746,63.75,2005-10-24,163536204,,58.65,10.625,,,6-Jun,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Pharmacy Services,3.93,0.201207243460752,74.2,5.0
CHSP US,Chesapeake Lodging Trust,-0.1,16.2,4.7,151.717,9.319,20.0,-5.0,186.38,2010-01-22,165240102,2.6,151.717,9.319,0.872777,530350.0,20 - 20,Priced Within Range,Financial,REITS,REITS-Hotels,0.05,0.3417473570148499,74.4,9.8
CHUY US,Chuy's Holdings Inc,23.5,7.6,4.9,87.2083,15.9184,13.0,15.84615421,206.94,2012-07-24,171604101,2.5,87.2083,15.9184,104.264,18763700.0,13-Nov,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants,0.09,-0.162978586182561,72.3,8.2
CHV/U US,Churchill Ventures Ltd,,,-0.1,107.779,0.0,8.0,0.0,0.0,2007-03-01,17157P208,0.1,107.779,0.0,,,8-Aug,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,5.31,0.910569585108543,88.4,4.4
CHVPF US,China VantagePoint Acquisition,,,-2.4,18.975,3.5375,6.0,-0.166666672,21.23,2011-02-22,N.A.,-0.0664783,18.975,3.5375,,,6-Jun,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.18,0.493136502545162,77.5,9.0
CHW US,Calamos Global Dynamic Income,,,,885.0,0.0,15.0,0.06666667,0.0,2007-06-27,12811L107,,885.0,0.0,14.2758,9117160.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.23,0.1937975176605649,85.3,4.6
CHWY US,Chewy Inc,24.4,-0.8,-2.5,1023.0,46.5,22.0,59.04545593,1023.0,2019-06-14,16679L109,0.4,1023.0,46.5,115.848,129202000.0,19 - 21,Priced Above Range,Communications,Internet,E-Commerce/Products,2.4,0.0199147181481603,98.2,3.6
CHY US,Calamos Convertible and High I,,,,783.0,0.0,15.0,4.0,0.0,2003-05-28,12811P108,,783.0,0.0,66.7013,50467200.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.3,-0.1632208922742189,92.1,6.1
CIEIQ US,Cobalt International Energy In,220.6,-1796.7,-50.6,958.203,344.143,13.5,0.0,4645.93,2009-12-16,19075F304,-8.2,958.203,344.143,2.05946,616290.0,15 - 17,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.13,-0.176119816946313,72.5,9.9
CII US,BlackRock Enhanced Capital and,,,,256.5,0.0,20.0,0.0,0.0,2004-04-28,09256A109,,256.5,0.0,20.3575,8984180.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.03,0.320170757737461,94.2,5.6
CIICU US,CIIG Merger Corp,,,,258.75,25.875,10.0,1.799999952,258.75,2019-12-13,12559C202,-0.0404428,258.75,25.875,0.036572,9463.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,1.56,-0.0909769525053792,99.3,3.6
CIM US,Chimera Investment Corp,56.1,58.9,-3.9,511.25,37.7049,15.0,-0.666666687,565.57,2007-11-16,16934Q208,2.2,511.25,37.7049,51.0556,118324000.0,15 - 15,Priced Within Range,Financial,REITS,REITS-Mortgage,4.59,0.5939617873415811,76.1,4.7
CITGQ US,CIT Group Inc/Old,,,,4866.18,200.217,23.0,-4.347826004,4604.99,2002-07-02,125581108,,4866.18,200.217,0.0387887,156990.0,25 - 29,Priced Below Range,Financial,Diversified Finan Serv,Finance-Commercial,1.83,0.1111728738187739,88.1,5.8
CJESQ US,C&J Energy Services Ltd/Old,8.7,-49.8,-54.4,383.525,53.6115,29.0,5.172413826,1554.73,2011-07-29,N.A.,1.0,383.525,53.6115,,,25 - 28,Priced Above Range,Energy,Oil&Gas Services,Oil-Field Services,0.08,0.0886045666793554,63.7,9.0
CKCM US,Click Commerce Inc,128.1,33.2,17.6,50.0,37.1845,10.0,76.25,371.85,2000-06-27,18681D208,0.0572972,50.0,37.1845,,,11-Sep,Priced Within Range,Communications,Internet,B2B/E-Commerce,6.65,0.5247813411078819,106.4,4.0
CLA/U US,Ouster Inc,,-279.8,-35.8,200.0,20.0,10.0,-0.800000012,200.0,2020-08-21,N.A.,-0.5,200.0,20.0,12.4995,2499900.0,10-Oct,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,0.1,0.315321052408127,74.1,8.4
CLACU US,Capitol Acquisition Corp III,,,-0.1,325.0,32.5,10.0,0.0,300.0,2015-10-14,14055M205,-0.1,325.0,32.5,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.13,-0.0449683750446447,90.0,5.0
CLBK US,Columbia Financial Inc,-5.5,33.8,0.9,498.32,115.889,10.0,54.20000076,1158.89,2018-04-20,197641103,0.9,498.32,115.889,78.1095,85588900.0,10-Oct,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,1.67,0.3975091563348929,98.8,4.0
CLCD US,CoLucid Pharmaceuticals Inc,,,-60.2,55.0,15.139,10.0,-20.0,0.0,2015-05-06,19716T101,-2.1,55.0,15.139,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.13,0.509723202549469,90.7,5.6
CLDPQ US,Cloud Peak Energy Inc,-6.2,-86.2,-134.9,459.0,31.431,15.0,-1.066666722,471.47,2009-11-20,18911Q102,0.2,459.0,31.431,0.586392,448638.0,16 - 18,Priced Below Range,Energy,Coal,Coal,0.11,0.0707753368767078,67.4,9.9
CLDR US,Cloudera Inc,9.4,-18.7,-6.2,258.75,130.314,15.0,20.66666603,1954.71,2017-04-28,18914U100,0.5,258.75,130.314,0.356493,1055990.0,14-Dec,Priced Above Range,Technology,Software,Computer Software,0.82,0.296553336532688,97.0,4.4
CLDT US,Chatham Lodging Trust,40.7,-9.0,0.0463197,172.5,8.07655,20.0,2.5,161.53,2010-04-16,16208T102,0.6,172.5,8.07655,88.5125,43200700.0,20 - 20,Priced Within Range,Financial,REITS,REITS-Hotels,0.17,0.1736884910697429,72.2,9.9
CLII/U US,EVgo Inc,,-26.5,-1.2,230.0,23.0,10.0,0.5,230.0,2020-09-30,18716C209,-0.4,230.0,23.0,0.0311896,8967.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Misc/Diversified,0.09,0.13927469432666,80.4,7.8
CLIR US,ClearSign Technologies Corp,,-1300.0,-54.3,13.8,8.73122,4.0,5.0,34.92,2012-04-25,185064102,-0.2,13.8,8.73122,8.07741,3071030.0,4-Apr,Priced Within Range,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,0.09,0.3021029504080339,76.4,8.2
CLMS US,Calamos Asset Management Inc,-8.0,1.4,0.1,414.0,18.0,18.0,10.66666698,324.0,2004-10-28,12811R104,2.4,414.0,18.0,,,15.50 - 17.50,Priced Above Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,1.86,0.5265929436545569,91.7,5.5
CLMT US,Calumet Specialty Products Par,38.7,-8.2,-6.9,140.93,13.066,21.5,1.162790656,280.92,2006-01-26,131476103,-0.5,140.93,13.066,20.8741,16530100.0,20.50 - 22.50,Priced Within Range,Energy,Oil&Gas,Oil Refining&Marketing,4.09,0.7621951219512159,91.2,4.7
CLNE US,Clean Energy Fuels Corp,-12.3,-36.4,-5.2,138.0,45.6934,12.0,0.333333343,548.32,2007-05-25,184499101,0.1,138.0,45.6934,47.9642,106686000.0,13 - 17,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Petroleum Prod,5.26,0.61107186747047,88.3,4.4
CLPR US,Clipper Realty Inc,-0.1,-6.1,-0.5,86.2663,17.8128,13.5,0.0,240.473,2017-02-10,18885T306,0.6,86.2663,17.8128,43.314,6957620.0,13.50 - 15.50,Priced Within Range,Financial,REITS,REITS-Diversified,0.66,0.3146117386416659,96.3,4.6
CLR US,Continental Resources Inc/OK,121.1,29.0,18.7,442.5,168.019,15.0,-6.0,2520.28,2007-05-15,212015101,11.0,442.5,168.019,13.7786,49276900.0,16 - 18,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,5.26,0.61107186747047,88.3,4.4
CLRK US,Color Kinetics Inc,,,4.4,40.0,17.8803,10.0,-0.5,178.8,2004-06-22,19624P100,,40.0,17.8803,,,13-Nov,Priced Below Range,Industrial,Building Materials,Bldg Prod-Light Fixtures,1.02,0.3172924378635659,95.6,5.6
CLSD US,Clearside Biomedical Inc,274.6,1.2,-11.0,50.4,19.5927,7.0,3.571428537,0.0,2016-06-02,185063104,-0.1,50.4,19.5927,39.0847,23525300.0,7-Jul,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.37,0.3284366167281879,93.5,4.9
CLU US,Cellu Tissue Holdings Inc,,,-1.2,107.9,20.123,13.0,-8.461538315,261.6,2010-01-22,151169109,,107.9,20.123,,,15 - 17,Priced Below Range,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,0.05,0.3417473570148499,74.4,9.8
CLUBQ US,Town Sports International Hold,5.3,-3.9,-19.9,116.35,25.9766,13.0,1.923076868,337.7,2006-06-01,89214A102,1.1,116.35,25.9766,0.110167,89722.0,14 - 14,Priced Below Range,"Consumer, Cyclical",Leisure Time,Recreational Centers,5.02,0.1975308641975319,84.9,4.6
CLVS US,Clovis Oncology Inc,-9.5,-177.8,-58.9,139.1,21.6636,13.0,-3.384615421,281.63,2011-11-16,189464100,-1.7,139.1,21.6636,29.3562,42553300.0,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.08,-0.0843561330442059,63.7,8.6
CLWA US,CallWave Inc,-20.6,-28.4,1.6,40.0,18.905,10.0,-4.5,189.05,2004-09-30,13126N200,-0.1,40.0,18.905,,,11-Sep,Priced Within Range,Technology,Software,Communications Software,1.53,0.2110817941952519,94.2,5.4
CLWR US,Clearwire Corp,0.9,-57.6,-9.4,600.0,133.325,25.0,-1.519999981,3333.12,2007-03-08,18538Q105,-0.8,600.0,133.325,,,23 - 25,Priced Within Range,Communications,Telecommunications,Telecom Services,5.31,0.910569585108543,88.4,4.4
CLXT US,Calyxt Inc,8.9,-112.3,-56.3,64.4,27.65,8.0,40.625,221.2,2017-07-20,13173L107,-0.5,64.4,27.65,12.1354,5927080.0,10-Aug,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Agricultural Biotech,1.06,-0.0689922638852294,93.4,4.3
CMAQU US,China Mineral Acquisition Corp,,,,24.0,5.0,6.0,0.0,30.0,2004-08-24,1694EQ205,,24.0,5.0,,,6-Jun,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,1.29,0.0527983104540587,95.9,5.4
CMBM US,Cambium Networks Corp,20.6,11.1,4.9,69.6,25.6056,12.0,-19.16666603,307.267,2019-06-26,N.A.,1.1,69.6,25.6056,93.1325,25178700.0,13 - 15,Priced Below Range,Communications,Telecommunications,Telecommunication Equip,2.4,0.0199147181481603,98.2,3.6
CME US,CME Group Inc,-3.9,56.2,1.4,191.231,31.8177,35.0,22.5714283,1113.62,2002-12-06,12572Q105,6.7,191.231,31.8177,110.573,397757000.0,31 - 34,Priced Above Range,Financial,Diversified Finan Serv,Finance-Other Services,1.23,-0.2206287920573639,86.7,6.0
CMG US,Chipotle Mexican Grill Inc,26.1,8.6,12.0,199.333,7.87879,22.0,100.0,173.33,2006-01-26,169656105,45.5,199.333,7.87879,100.784,27938400.0,18 - 20,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Restaurants,4.09,0.7621951219512159,91.2,4.7
CML US,Compellent Technologies Inc,,,2.0,93.15,30.5713,13.5,79.18518829,412.71,2007-10-10,20452A108,,93.15,30.5713,,,12-Oct,Priced Above Range,Technology,Computers,Computers-Memory Devices,4.92,0.2139191328121169,80.9,4.7
CMLFU US,Sema4 Holdings Corp,18.3,-115.6,-60.9,442.75,44.275,10.0,2.5,442.75,2020-09-02,18978W208,-1.7,442.75,44.275,6.64528,2942200.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,0.09,0.13927469432666,80.4,7.8
CMLP US,Crestwood Midstream Partners L,102.6,-1.8,-0.0327609,312.8,74.331,17.0,3.823529482,1263.63,2011-12-16,226378107,6.6,312.8,74.331,,,19 - 21,Priced Below Range,Energy,Pipelines,Pipelines,0.08,-0.2466516377138169,69.9,8.5
CMP US,Compass Minerals International,,,,216.775,30.1761,13.0,5.769230843,392.29,2003-12-12,20451N101,,216.775,30.1761,119.69,40898800.0,13 - 15,Priced Within Range,Basic Materials,Mining,Quarrying,1.03,-0.108401084010841,92.6,5.7
CMPI US,Checkmate Pharmaceuticals Inc,,,-67.6,76.6485,22.1867,15.0,-6.666666508,332.8,2020-08-07,162818108,-2.4,76.6485,22.1867,42.7921,9430620.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.1,0.315321052408127,74.1,8.4
CMRX US,Chimerix Inc,-63.1,-8753.7,-106.1,117.852,25.5081,14.0,34.2142868,357.113,2013-04-11,16934W106,-1.1,117.852,25.5081,75.0942,66116800.0,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.16,-0.103963947708716,76.4,7.6
CMSB US,CMS Bancorp Inc,-1.5,6.9,0.1,17.25,0.0,0.0,,0.0,2007-04-04,12600U102,0.9,17.25,0.0,,,10-Oct,,Financial,Savings&Loans,S&L/Thrifts-Eastern US,5.3,0.649616268650889,87.1,4.5
CNACU US,DermTech Inc,101.1,-661.7,-49.3,143.75,18.005,10.0,0.100000002,180.05,2017-06-20,N.A.,-2.1,143.75,18.005,102.513,5476790.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Kits,0.91,0.0907111014861139,95.0,4.3
CNC US,Centene Corp,13.3,1.0,2.5,56.35,0.0,14.0,22.8571434,0.0,2001-12-13,15135B101,7.2,56.35,0.0,102.177,578585000.0,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,2.06,-0.3945885005637069,88.8,5.7
CNCE US,Concert Pharmaceuticals Inc,312.2,-245.7,-84.3,93.0958,17.8678,14.0,1.285714269,250.15,2014-02-13,206022105,-1.6,93.0958,17.8678,74.3908,35661600.0,14 - 14,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.07,0.3697908650968729,81.6,6.7
CNCP US,Carolina National Corp,,,,18.4,2.4273,16.0,6.25,38.84,2005-12-15,144060100,,18.4,2.4273,,,,,Financial,Banks,Commer Banks-Southern US,4.03,-0.4048582995951299,91.5,4.9
CNCTU US,180 Connect Inc,,-6.5,,54.0,11.25,6.0,-1.666666627,67.5,2005-08-26,682343207,,54.0,11.25,,,6-Jun,Priced Within Range,Communications,Telecommunications,Telecom Services,3.3,0.5117707267144339,89.1,4.9
CND/U US,Concord Acquisition Corp,,,-9.9,276.0,29.3,10.0,1.0,293.0,2020-12-08,206071201,-0.0252546,276.0,29.3,0.39259,111307.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7
CNFR US,Conifer Holdings Inc,12.0,-0.9,,34.65,7.631,10.5,0.952380955,80.1255,2015-08-13,20731J102,0.5,34.65,7.631,9.49593,1160050.0,13-Nov,Priced Below Range,Financial,Insurance,Property/Casualty Ins,0.08,-0.141627628281935,91.9,5.1
CNGW US,CNL Growth Properties Inc,,-512.9,,200.0,0.0,0.0,,0.0,2013-04-07,12625D101,-0.4,200.0,0.0,,,10.84 - 10.84,,Financial,REITS,REITS-Diversified,0.16,-0.103963947708716,76.4,7.6
CNK US,Cinemark Holdings Inc,120.0,-27.9,-3.3,537.075,106.45,19.0,-0.473684222,2022.55,2007-04-24,17243V102,1.4,537.075,106.45,109.342,131822000.0,17 - 19,Priced Within Range,"Consumer, Cyclical",Entertainment,Theaters,5.3,0.649616268650889,87.1,4.5
CNS US,Cohen & Steers Inc,36.1,36.0,41.6,112.125,34.2,13.0,0.0,444.6,2004-08-13,19247A100,5.0,112.125,34.2,50.2045,24452800.0,13 - 15,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,1.29,0.0527983104540587,95.9,5.4
CNSL US,Consolidated Communications Ho,-1.6,-8.3,4.7,234.227,29.6875,13.0,6.076922894,385.94,2005-07-22,209034107,3.6,234.227,29.6875,83.7644,96660500.0,15 - 15,Priced Below Range,Communications,Telecommunications,Telecom Services,3.36,0.4627249357326559,96.5,5.0
CNST US,Constellation Pharmaceuticals,,,-36.3,60.0,25.6994,15.0,-23.33333397,385.491,2018-07-19,210373106,-2.4,60.0,25.6994,37.991,18222700.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.91,0.006746326228517,97.9,3.8
CNVO US,Convio LLC,,,16.3,53.1234,17.2754,9.0,13.77777767,155.48,2010-04-29,21257W105,,53.1234,17.2754,0.00127033,240.244,12-Oct,Priced Below Range,Technology,Software,Enterprise Software/Serv,0.17,0.1736884910697429,72.2,9.9
CNVR US,Conversant Inc,6.1,17.7,16.9,76.0,27.3669,19.0,10.19736862,519.971,2000-03-30,21249J105,2.4,76.0,27.3669,,,18 - 20,Priced Within Range,Communications,Internet,E-Marketing/Info,5.78,0.8244994110718371,107.1,4.0
CNWUF US,China Networks International H,,,-2.8,56.0,0.0,8.0,0.375,0.0,2007-06-29,N.A.,-0.0164993,56.0,0.0,,,8-Aug,Priced Within Range,Communications,Advertising,Advertising Agencies,5.23,0.1937975176605649,85.3,4.6
CNXM US,CNX Midstream Partners LP,19.1,57.0,14.3,442.75,31.7881,22.0,38.18181992,641.588,2014-09-25,12654A101,3.4,442.75,31.7881,2.5811,2317810.0,19 - 21,Priced Above Range,Energy,Pipelines,Pipelines,0.07,0.0752568824311014,84.6,5.9
CNXR US,Connecture Inc,-6.2,-20.2,-18.7,53.08,21.6806,8.0,10.0,173.445,2014-12-12,20786J106,-0.6,53.08,21.6806,,,14-Dec,Priced Below Range,Technology,Software,Medical Information Sys,0.13,-0.567010091001089,93.6,5.6
COBK US,Colonial Financial Services In,,-10.7,-0.1,22.5089,0.0,0.0,,0.0,2005-06-30,19566B101,1.1,22.5089,0.0,,,10-Oct,,Financial,Savings&Loans,S&L/Thrifts-Eastern US,3.02,0.0514403292181003,96.0,5.0
COD US,Chiles Offshore Inc,32.4,30.3,5.0,148.2,16.231,19.0,10.52631569,308.39,2000-09-19,16888M104,2.4,148.2,16.231,,,17 - 19,Priced Within Range,Energy,Oil&Gas,Oil&Gas Drilling,6.52,0.5208333333333119,106.8,3.9
CODI US,Compass Diversified Holdings,35.4,6.2,5.4,202.5,20.0,15.0,0.200000003,300.0,2006-05-11,20451Q104,2.0,202.5,20.0,65.5107,47300500.0,14 - 16,Priced Within Range,Financial,Investment Companies,Investment Companies,4.84,0.4962779156327429,79.1,4.6
COGT US,Cogent Biosciences Inc,,,-36.8,71.82,29.8327,12.0,-7.416666508,357.992,2018-03-29,19240Q201,-1.5,71.82,29.8327,115.539,80753900.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.42,0.2261125904149038,101.4,4.0
COHN US,Cohen & Co Inc,12.5,7.7,-0.1,130.0,10.475,13.0,-1.923076868,136.17,2004-03-17,19249M102,15.4,130.0,10.475,8.54734,146753.0,14 - 16,Priced Below Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,1.04,0.644468313641263,95.8,5.8
COLD US,Americold Realty Trust Inc,36.5,-1.1,-0.3,833.52,142.388,16.0,11.0625,2208.61,2018-01-19,03064D108,1.0,833.52,142.388,113.612,306071000.0,14 - 16,Priced Within Range,Financial,REITS,REITS-Warehouse/Industr,1.33,0.5447745452775409,95.7,4.0
COLL US,Collegium Pharmaceutical Inc,-10.6,25.8,-4.4,80.04,20.5779,12.0,2.416666746,236.495,2015-05-07,19459J104,2.9,80.04,20.5779,115.613,38813600.0,,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.13,0.509723202549469,90.7,5.6
COLY US,Coley Pharmaceutical Group Inc,27.1,-147.3,-28.5,110.4,24.8421,16.0,18.0,397.47,2005-08-10,19388P106,-1.3,110.4,24.8421,,,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,3.3,0.5117707267144339,89.1,4.9
COMM US,CommScope Holding Co Inc,1.7,-5.3,-2.0,625.248,185.654,15.0,-0.06666667,2784.81,2013-10-25,20337X109,0.6,625.248,185.654,101.838,212179000.0,18 - 21,Priced Below Range,Communications,Telecommunications,Telecommunication Equip,0.08,-0.2575283259804639,73.2,7.2
COMV US,Itron Distributed Energy Manag,14.2,-9.4,-5.6,109.71,18.3127,18.0,23.94444466,329.63,2007-04-12,205859101,-0.1,109.71,18.3127,,,15 - 17,Priced Above Range,Utilities,Electric,Electric-Integrated,5.3,0.649616268650889,87.1,4.5
CONE US,Cyrusone Holdco LLC,16.6,2.1,0.3,360.525,21.8882,19.0,11.57894707,415.88,2013-01-18,23283R100,3.8,360.525,21.8882,34.6753,44926500.0,16 - 18,Priced Above Range,Financial,REITS,REITS-Diversified,0.09,0.295730419292604,73.8,8.0
