Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced
APLP US,Archrock Partners LP,15.3,8.5,2.5,132.825,7.15,21.0,150.15,03957U100,3.2,132.825,7.15,100.0,70231000.0,19 - 21,Priced Within Range,Energy,Oil&Gas Services,Oil-Field Services,5.34,-0.542138984721521,93.6,4.4,10,17,2006,1
APLS US,Apellis Pharmaceuticals Inc,-73.4,-1121.2,-90.6,172.495,50.864,14.0,712.096,03753U106,-6.6,172.495,50.864,107.752,119147000.0,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.16,0.0024324685907436,98.5,4.2,11,9,2017,1
APLT US,Applied Therapeutics Inc,,,-97.2,40.0,17.0522,10.0,170.522,03828A101,-3.5,40.0,17.0522,67.6416,32507800.0,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.45,0.2128758589384109,100.0,3.6,5,14,2019,0
APP/U US,American Apparel LLC,-3.9,-11.3,-36.0,120.0,18.75,8.0,150.0,23850209,,120.0,18.75,9.8507,1961350.0,8-Aug,Priced Within Range,"Consumer, Cyclical",Apparel,Apparel Manufacturers,4.03,-0.4048582995951299,91.5,4.9,12,16,2005,0
APPF US,Appfolio Inc,15.9,0.2,-12.5,85.56,7.13,12.0,85.56,03783C100,1.0,85.56,7.13,86.6012,17679400.0,14-Dec,Priced Within Range,Technology,Software,Applications Software,0.12,0.3502869998528119,96.1,5.3,6,26,2015,1
APPN US,Appian Corp,21.2,-24.0,-30.0,86.25,7.1875,12.0,704.255,03782L101,-0.7,86.25,7.1875,81.8299,33591000.0,13-Nov,Priced Within Range,Technology,Software,Enterprise Software/Serv,0.91,0.0854721826896363,97.1,4.4,5,25,2017,1
APPX US,Fresenius Kabi USA Inc,11.0,5.3,2.2,165.6,48.0681,16.0,769.09,00202H108,0.0773789,165.6,48.0681,0.345165,555000.0,13 - 16,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,2.06,-0.3945885005637069,88.8,5.7,12,14,2001,1
APRE US,Aprea Therapeutics Inc,,,-219.9,97.7505,20.7265,15.0,310.897,03836J102,-1.7,97.7505,20.7265,8.00506,4242510.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.88,0.2286190552229999,95.5,3.6,10,3,2019,1
APRN US,Blue Apron Holdings Inc,2.1,-18.7,-61.1,300.0,30.0427,10.0,1890.58,09523Q200,-2.2,300.0,30.0427,15.457,6117660.0,11-Oct,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Retail,0.91,0.0907111014861139,95.0,4.3,6,29,2017,0
APRS US,Apropos Technology Inc,,,-2.5,81.4,13.2451,22.0,291.392,38334108,,81.4,13.2451,,,17 - 19,Priced Above Range,Communications,Internet,Internet Applic Sftwr,5.79,0.592417061611377,111.3,4.1,2,16,2000,1
APSG/U US,Global Business Travel Group I,,,0.7,816.81,81.681,10.0,816.81,N.A.,,816.81,81.681,0.00296519,2422.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Leisure Time,Travel Services,0.09,0.0414937759336148,81.8,6.9,10,2,2020,0
APTI US,Apptio Inc,17.4,-13.5,-7.9,110.4,6.9,16.0,596.573,03835C108,0.2,110.4,6.9,0.302104,137660.0,13 - 15,Priced Above Range,Technology,Software,Enterprise Software/Serv,0.4,0.2403995864628979,91.2,5.0,9,23,2016,1
APTS US,Preferred Apartment Communitie,-9.9,4.5,0.3,46.0736,5.1441,10.0,51.44,74039L103,3.5,46.0736,5.1441,12.2194,7874540.0,10-Oct,Priced Within Range,Financial,REITS,REITS-Diversified,0.11,0.6439429535456989,69.8,9.1,4,1,2011,0
APTX US,Aptinyx Inc,-36.0,-7488.6,-69.3,117.76,33.4962,16.0,535.939,03836N103,-0.9,117.76,33.4962,51.1611,34644100.0,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.7,0.1593875701543719,98.2,4.0,6,21,2018,1
APXTU US,AvePoint Inc,26.6,-18.3,-14.2,350.0,35.81,10.0,358.1,03768F201,0.0355236,350.0,35.81,0.0245462,8790.0,10-Oct,Priced Within Range,Technology,Software,Computer Software,2.13,0.0783448576930001,93.2,3.5,9,17,2019,1
AQ US,Aquantia Corp,16.8,-8.0,-19.5,70.5663,33.3438,9.0,300.094,03842Q108,0.2,70.5663,33.3438,14.2008,5124410.0,12-Oct,Priced Below Range,Technology,Semiconductors,Semiconductor Equipment,1.16,0.0024324685907436,98.5,4.2,11,3,2017,1
AQMS US,Aqua Metals Inc,60.1,-10516.1,-44.7,36.2095,0.0,5.0,0.0,03837J101,-0.1,36.2095,0.0,18.3638,14394800.0,5-May,Priced Within Range,Industrial,Environmental Control,Recycling,0.13,0.0067047159295661,93.1,5.2,7,31,2015,1
AQNT US,aQuantive Inc,,,6.4,126.0,55.673,24.0,1336.15,03839G105,,126.0,55.673,,,18 - 20,Priced Above Range,Communications,Internet,E-Marketing/Info,5.79,0.592417061611377,111.3,4.1,2,28,2000,1
AQST US,Aquestive Therapeutics Inc,10.8,-138.7,-121.2,73.8855,24.4257,15.0,366.385,3.84E+107,-0.8,73.8855,24.4257,30.0102,16252300.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.91,0.006746326228517,97.9,3.8,7,25,2018,1
AQUA US,Evoqua Water Technologies Corp,2.4,3.5,2.8,575.001,113.282,18.0,2039.08,30057T105,1.5,575.001,113.282,111.045,135266000.0,17 - 19,Priced Within Range,Industrial,Environmental Control,Water Treatment Systems,1.16,0.0024324685907436,98.5,4.2,11,2,2017,1
AR US,Antero Resources Corp,27.3,-3.4,14.8,1802.41,265.624,44.0,11687.5,03674X106,5.3,1802.41,265.624,89.9989,270119000.0,38 - 42,Priced Above Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.08,-0.2575283259804639,73.2,7.2,10,10,2013,1
ARA US,American Renal Associates Hold,2.0,-1.6,-0.7,189.75,30.8448,22.0,653.836,29227105,1.2,189.75,30.8448,0.276124,95382.4,20 - 23,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Dialysis Centers,0.37,0.4741067979104,89.0,5.1,4,21,2016,1
ARAV US,Aravive Inc,30.9,-526.0,-78.7,144.9,24.164,21.0,507.44,03890D108,-1.6,144.9,24.164,14.8557,8887720.0,19 - 21,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.06,0.6440044126228239,80.0,6.7,3,21,2014,1
ARAY US,Accuray Inc,8.4,-1.2,-2.0,331.2,52.2124,18.0,939.82,4397105,-0.02606,331.2,52.2124,66.3886,62258400.0,17 - 18,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.29,0.535036755987662,91.3,4.5,2,8,2007,1
ARBGU US,Aequi Acquisition Corp,,,2.7,230.0,23.0,10.0,230.0,00775W201,-0.1,230.0,23.0,3.39935,781850.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,-0.0610627217844137,76.9,6.7,11,20,2020,0
ARBX US,ICS Group Holdings Inc,,,-27.7,131.525,23.9608,17.5,419.31,03875P407,,131.525,23.9608,,,14 - 16,Priced Above Range,Communications,Telecommunications,Cellular Telecom,2.04,-0.3664921465968529,97.1,5.4,12,16,2004,1
ARC US,ARC Document Solutions Inc,-5.9,3.3,3.6,195.459,43.9087,13.0,570.81,00191G103,0.8,195.459,43.9087,52.1031,22417700.0,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Printing-Commercial,2.4,0.576822233875206,94.1,5.4,2,4,2005,1
ARCC US,Ares Capital Corp,20.4,86.1,3.9,165.0,17.0168,15.0,255.25,04010L103,-5.5,165.0,17.0168,34.4133,178075000.0,15 - 15,Priced Within Range,Financial,Investment Companies,Investment Companies,1.86,0.5265929436545569,91.7,5.5,10,5,2004,1
ARCL US,Archipelago Learning Inc,24.9,16.3,4.1,118.594,25.1067,16.5,414.26,03956P102,1.0,118.594,25.1067,,,15 - 17,Priced Within Range,Communications,Internet,Internet Content-Info/Ne,0.11,0.0707753368767078,67.4,9.9,11,20,2009,1
ARCP US,VEREIT Inc,-6.1,17.3,1.7,69.75,5.853,12.5,73.16,02917T104,,69.75,5.853,3.15e-05,72.29,12.50 - 12.50,Priced Within Range,Financial,REITS,REITS-Office Property,0.08,0.1518462115694609,59.5,9.0,9,7,2011,0
ARCX US,Arc Logistics Partners LP,28.8,14.2,1.3,128.951,6.7869,19.0,128.95,03879N101,2.8,128.951,6.7869,,,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines,0.08,-0.204242419052338,75.1,6.9,11,6,2013,0
ARDC US,Ares Dynamic Credit Allocation,,,,320.0,0.0,20.0,0.0,04014F102,,320.0,0.0,60.1398,13809500.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.17,-0.4738086694881878,82.7,7.7,11,28,2012,0
ARDI US,@Road Inc/United States,,,-2.4,63.0,45.3269,9.0,407.94,04648K105,,63.0,45.3269,,,11-Sep,Priced Within Range,Technology,Software,Applications Software,6.52,0.5208333333333119,106.8,3.9,9,29,2000,0
ARDS US,Aridis Pharmaceuticals Inc,53.5,-2748.7,-324.5,28.5064,7.9994,13.0,103.992,40334104,-1.8,28.5064,7.9994,17.2665,3056440.0,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.91,0.0555542328357295,96.2,3.8,8,14,2018,0
ARDX US,Ardelyx Inc,33.3,-1566.4,-80.1,69.0046,18.5291,14.0,259.41,39697107,-1.4,69.0046,18.5291,41.4247,77654600.0,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.1862126944094109,82.5,6.1,6,19,2014,1
ARES US,Ares Management Corp,108.4,8.7,0.8,220.199,80.6677,19.0,1532.69,03990B101,-15.8,220.199,80.6677,99.8473,173155000.0,21 - 23,Priced Below Range,Financial,Private Equity,Private Equity,0.09,0.3492609840048699,81.9,6.3,5,2,2014,0
AREXQ US,Approach Resources Inc,5.9,-18.6,-4.5,105.8,20.4058,12.0,244.87,03834A103,0.3,105.8,20.4058,0.483565,452764.0,14 - 16,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4.59,0.5939617873415811,76.1,4.7,11,8,2007,1
ARGLU US,Argyle Security Inc,206.0,-22.8,-23.1,29.6004,4.76255,8.0,38.1,40311201,-0.2,29.6004,4.76255,,,8-Aug,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Security Services,4.09,0.7621951219512159,91.2,4.7,1,25,2006,0
ARGSQ US,Argos Therapeutics Inc,100.9,-2136.3,-84.5,49.8296,19.6527,8.0,157.22,40221202,-11.7,49.8296,19.6527,0.11898,12596.0,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.07,0.3697908650968729,81.6,6.7,2,7,2014,0
ARI US,Apollo Commercial Real Estate,-2.8,56.5,3.4,200.0,21.525,20.0,430.5,03762U105,1.4,200.0,21.525,67.7091,95196300.0,20 - 20,Priced Within Range,Financial,REITS,REITS-Mortgage,0.15,0.0625480693495816,73.5,9.8,9,24,2009,0
ARII US,American Railcar Industries In,-25.3,29.8,9.9,205.275,21.2078,21.0,445.36,02916P103,6.8,205.275,21.2078,0.187871,35853.0,16 - 18,Priced Above Range,Industrial,Miscellaneous Manufactur,Miscellaneous Manufactur,4.09,0.7621951219512159,91.2,4.7,1,20,2006,1
ARLO US,Arlo Technologies Inc,21.8,-12.8,-13.3,187.957,74.2473,16.0,1187.96,04206A101,-0.2,187.957,74.2473,74.615,66013200.0,18 - 20,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Traffic Management Sys,1.91,0.0555542328357295,96.2,3.8,8,3,2018,1
ARMF US,Ares Multi-Strategy Credit Fun,,,,130.0,0.0,25.0,0.0,04014Q108,,130.0,0.0,16.1177,838798.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.08,-0.2575283259804639,73.2,7.2,10,29,2013,0
ARMK US,Aramark,-5.7,-0.7,1.0,833.75,229.837,20.0,4596.74,03852U106,2.7,833.75,229.837,127.998,329873000.0,20 - 23,Priced Within Range,"Consumer, Cyclical",Food Service,Food-Catering,0.07,-0.0085811497882589,82.5,6.7,12,12,2013,1
ARMO US,ARMO BioSciences Inc,,,,147.2,30.4051,17.0,516.887,04225U104,-30.0,147.2,30.4051,,,14 - 16,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.33,0.5447745452775409,95.7,4.0,1,26,2018,1
ARNA US,Arena Pharmaceuticals Inc,-83.0,-1.14,-62.4,108.0,20.9966,18.0,377.939,40047607,-7.4,108.0,20.9966,29.7346,18334200.0,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.86,0.23201856148492,108.3,4.0,7,28,2000,1
AROPQ US,ARO Liquidation Inc,-18.0,-9.0,-28.5,258.75,34.0405,18.0,612.73,00215Q103,-0.8,258.75,34.0405,0.0345968,27900.0,15 - 17,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,1.88,0.0,96.9,5.8,5,16,2002,1
ARPT US,ArrowPoint Communications Inc,6067.4,-101.8,,170.0,32.2184,34.0,1095.43,42810101,,170.0,32.2184,,,30 - 32,Priced Above Range,Communications,Telecommunications,Networking Products,5.78,0.8244994110718371,107.1,4.0,3,31,2000,1
ARQT US,Arcutis Biotherapeutics Inc,,,-69.3,183.282,38.0332,17.0,646.564,03969K108,-3.5,183.282,38.0332,114.365,69680200.0,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.55,0.3879769937814869,99.8,3.6,1,31,2020,1
ARRY US,Array Technologies Inc,-2.2,-5.9,-0.9,1201.75,126.994,22.0,2793.87,04271T100,-2.0,1201.75,126.994,119.766,180236000.0,19 - 21,Priced Above Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,0.09,0.0414937759336148,81.8,6.9,10,15,2020,1
ART US,Artio Global Investors Inc,,,-21.7,718.748,27.6511,26.0,718.93,04315B107,,718.748,27.6511,,,24 - 26,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,0.15,0.0625480693495816,73.5,9.8,9,24,2009,1
ARTD US,Artistdirect Inc,-49.7,-394.9,-124.8,60.0,37.2965,12.0,447.558,04315D400,-0.1,60.0,37.2965,,,12-Oct,Priced Within Range,Communications,Internet,Internet Content-Info/Ne,5.78,0.8244994110718371,107.1,4.0,3,27,2000,0
ARTEQ US,Artes Medical Inc,,-201.9,-136.9,31.74,16.3243,6.0,97.95,04301Q100,-1.4,31.74,16.3243,,,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.27,0.148883374689833,91.7,4.4,12,20,2006,1
ARUN US,Aruba Networks LLC,21.4,-3.9,-0.3,101.2,75.141,11.0,826.55,43176106,1.0,101.2,75.141,,,10-Aug,Priced Above Range,Communications,Telecommunications,Wireless Equipment,5.31,0.910569585108543,88.4,4.4,3,27,2007,1
ARVN US,Arvinas Inc,114.2,-408.9,-22.7,123.208,32.3592,16.0,517.747,04335A105,11.1,123.208,32.3592,98.1285,52231400.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Generic Drugs,1.91,0.116202517589025,100.1,3.7,9,27,2018,1
ARX US,Aeroflex Holding Corp,-3.8,-16.1,-5.9,267.154,82.25,13.5,1110.38,7767106,0.8,267.154,82.25,,,13.50 - 15.50,Priced Within Range,Technology,Semiconductors,Semicon Compo-Intg Circu,0.2,0.0420646423819506,71.6,9.8,11,19,2010,0
ARXT US,Adams Respiratory Therapeutics,38.6,9.2,13.1,155.423,31.9682,17.0,543.46,00635P107,0.1,155.423,31.9682,,,14 - 16,Priced Above Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,3.36,0.4627249357326559,96.5,5.0,7,20,2005,1
ARYAU US,ARYA Sciences Acquisition Corp,,,-0.9,143.75,14.375,10.0,143.75,N.A.,-0.0225377,143.75,14.375,18.7697,3372670.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,2.18,0.1766763455725869,98.6,3.8,10,5,2018,1
ARYBU US,Cerevel Therapeutics Holdings,,,-56.6,149.5,15.41,10.0,134.6,N.A.,-1.3,149.5,15.41,0.208495,31170.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.05,0.5472046927775109,78.1,11.0,6,5,2020,1
ARYX US,ARYx Therapeutics Inc,,,-145.1,50.0,17.5366,10.0,175.37,43387109,-1.2,50.0,17.5366,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4.59,0.5939617873415811,76.1,4.7,11,7,2007,0
ASAQ/U US,Atlantic Avenue Acquisition Co,,,5.4,250.0,25.0,10.0,250.0,04906P200,-0.0141352,250.0,25.0,0.619152,154788.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9,10,2,2020,0
ASBB US,ASB Bancorp Inc,9.5,3.7,0.1,55.8455,0.0,10.0,0.0,00213T109,1.3,55.8455,0.0,0.00245511,93.0,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Southern US,0.06,-0.206268263335836,60.8,8.8,10,12,2011,1
ASCQU US,Kitara Media Corp,29976.4,-0.7,-43.8,41.4,8.5667,6.0,51.4,04350H407,-0.0284548,41.4,8.5667,,,6-Jun,Priced Within Range,Communications,Advertising,Advertising Services,4.84,0.4962779156327429,79.1,4.6,5,12,2006,1
ASCXZ US,Advanced Switching Communicati,-58.5,-363.5,-60.7,93.75,40.5907,15.0,608.86,00757V106,-0.6,93.75,40.5907,,,13 - 15,Priced Within Range,Communications,Telecommunications,Telecommunication Equip,6.6,0.1727115716753108,105.8,3.9,10,4,2000,1
ASGI US,abrdn Global Infrastructure In,,,,177.0,0.0,20.0,0.0,00326W106,,177.0,0.0,18.8531,1669440.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.08,0.5058243501670088,72.5,10.2,7,29,2020,0
ASMB US,Assembly Biosciences Inc,-92.0,-2076.3,-70.6,20.01,7.1814,6.0,43.09,45396108,-2.1,20.01,7.1814,39.3512,19195500.0,7-Jun,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.2,0.1718440789203088,74.5,9.3,12,17,2010,1
ASO US,Academy Sports & Outdoors Inc,19.0,9.9,13.8,226.622,89.9106,13.0,1168.84,00402L107,7.4,226.622,89.9106,104.718,83498700.0,15 - 17,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Sporting Goods,0.09,0.0414937759336148,81.8,6.9,10,2,2020,0
ASPL/U US,Wheels Up Experience Inc,,-15.9,-17.1,239.746,23.9746,10.0,239.746,N.A.,0.6,239.746,23.9746,0.124669,29889.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Airlines,Airlines,0.09,0.13927469432666,80.4,7.8,9,23,2020,0
ASPM US,Aspect Medical Systems Inc,,,7.0,52.5,15.8657,15.0,237.986,45235108,,52.5,15.8657,,,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,3.99,0.2970885323826589,112.0,4.0,1,27,2000,1
ASPN US,Aspen Aerogels Inc,21.2,-30.5,-31.2,82.5,23.0,11.0,253.0,04523Y105,-0.6,82.5,23.0,96.9333,39654900.0,14 - 16,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Building Products,0.08,0.1862126944094109,82.5,6.1,6,13,2014,0
ASPX US,Auspex Pharmaceuticals Inc,,,-62.7,96.6,23.5765,12.0,282.92,05211J102,-1.9,96.6,23.5765,,,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.07,0.3697908650968729,81.6,6.7,2,5,2014,1
ASTIU US,Ascent Solar Technologies Inc,812.4,-987.1,-144.4,16.5,5.29091,5.5,29.1,43635200,,16.5,5.29091,,,6-May,Priced Within Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,5.05,0.295712173484489,84.7,4.7,7,11,2006,0
ASV US,ASV Holdings Inc,3.4,-25.1,-33.7,30.59,10.07,7.0,70.49,00215L104,-0.0864876,30.59,10.07,6.30664,624979.0,10-Aug,Priced Below Range,Industrial,Machinery-Constr&Mining,Machinery-Constr&Mining,0.91,0.0854721826896363,97.1,4.4,5,12,2017,1
ATA/U US,AMERICAS TECHNOLOGY ACQUISITIO,,,1.8,115.0,0.0,10.0,0.0,N.A.,-0.042623,115.0,0.0,10.6553,760535.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7,12,15,2020,1
ATAC/U US,Blue Owl Capital Inc,,-45.6,-8.8,275.0,27.5,10.0,250.0,N.A.,0.7,275.0,27.5,,,10-Oct,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,0.09,0.0414937759336148,81.8,6.9,10,23,2020,0
ATACU US,HF Foods Group Inc,46.0,-60.5,2.9,44.25,0.0,10.0,0.0,48206205,0.8,44.25,0.0,8.14986,478600.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Wholesale/Distrib,1.16,0.299445229710857,96.8,4.4,8,9,2017,1
ATCTU US,ATS Corp,-21.6,4.8,5.3,126.0,26.25,6.0,157.5,2.11E+205,,126.0,26.25,,,6-Jun,Priced Within Range,Technology,Software,Applications Software,3.93,0.201207243460752,74.2,5.0,10,20,2005,1
ATEC US,Alphatec Holdings Inc,67.8,-59.3,-34.2,83.7,34.7602,9.0,312.84,02081G201,-0.7,83.7,34.7602,64.526,67790000.0,12-Nov,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.02,0.1975308641975319,84.9,4.6,6,2,2006,0
ATEL US,American Telecom Services Inc,351.1,-145.1,,16.9175,6.10024,5.05,30.81,03015P101,-1.5,16.9175,6.10024,,,5.05 - 5.05,Priced Within Range,Communications,Telecommunications,Cellular Telecom,4.47,0.2017145738779499,86.7,4.8,2,1,2006,0
ATEN US,A10 Networks Inc,10.8,37.9,10.8,187.5,59.029,15.0,885.44,2121101,0.6,187.5,59.029,110.71,81314300.0,13 - 15,Priced Within Range,Communications,Telecommunications,Networking Products,0.06,0.6440044126228239,80.0,6.7,3,21,2014,1
ATER US,Aterian Inc,33.4,-95.2,-54.7,36.0,17.5408,10.0,175.408,02156U101,-1.1,36.0,17.5408,26.8326,21699700.0,14 - 16,Priced Below Range,"Consumer, Cyclical",Home Furnishings,Appliances,2.4,0.0199147181481603,98.2,3.6,6,12,2019,0
ATHA US,Athira Pharma Inc,,,-23.7,204.0,28.8146,17.0,489.848,04746L104,-1.1,204.0,28.8146,73.5384,27819100.0,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.13927469432666,80.4,7.8,9,18,2020,1
ATHL US,Athlon Energy Inc,90.5,19.7,5.5,362.756,82.1291,20.0,1642.58,47477104,2.5,362.756,82.1291,,,18 - 20,Priced Within Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.08,0.12029315570472,82.1,7.2,8,2,2013,1
ATHR US,Qualcomm Atheros Inc,,,5.1,144.9,45.4517,14.0,636.32,04743P108,,144.9,45.4517,0.0488371,36059.0,11.50 - 13.50,Priced Above Range,Communications,Telecommunications,Networking Products,1.03,0.539956803455712,94.4,5.6,2,12,2004,1
ATIS US,Attis Industries Inc,-97.1,-4398.8,,12.39,6.4288,4.13,17.5083,49836208,-6.5,12.39,6.4288,,,,,Industrial,Environmental Control,Non-hazardous Waste Disp,0.55,0.582772789025459,98.5,4.7,1,26,2017,0
ATKR US,Atkore Inc,65.8,20.0,40.1,192.0,62.4584,16.0,999.334,47649108,12.3,192.0,62.4584,114.891,47473900.0,20 - 22,Priced Below Range,Industrial,Electronics,Electronic Compo-Misc,0.37,0.3284366167281879,93.5,4.9,6,10,2016,0
ATN US,Atlas Energy Resources LLC,,,7.1,152.749,37.6231,21.0,790.09,49303100,,152.749,37.6231,,,19 - 21,Priced Within Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,5.27,0.148883374689833,91.7,4.4,12,13,2006,1
ATNX US,Athenex Inc,-16.7,-166.2,-56.5,75.9,56.944,11.0,626.384,04685N103,-1.3,75.9,56.944,37.6981,59340600.0,13-Nov,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.91,0.0907111014861139,95.0,4.3,6,14,2017,1
ATOM US,Atomera Inc,545.1,-3928.5,-51.7,24.0,11.3232,7.5,84.924,04965B100,-0.5,24.0,11.3232,32.4636,7743780.0,7.50 - 7.50,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,0.4,0.0918430107884497,89.8,4.9,8,5,2016,1
ATPAQ US,ATP Oil & Gas Corp/United Stat,54.9,-28.4,-6.1,84.0,21.7857,14.0,305.0,00208J108,3.8,84.0,21.7857,0.312719,163114.0,15 - 18,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,5.57,0.39977155910909,90.6,4.2,2,5,2001,0
ATRA US,Atara Biotherapeutics Inc,,-1672.2,-55.4,63.25,20.1531,11.0,213.434,46513107,-2.3,63.25,20.1531,115.226,109325000.0,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,-0.2512277812553889,86.9,5.7,10,16,2014,0
ATRC US,AtriCure Inc,32.8,18.3,-9.3,55.2,11.9015,12.0,142.82,04963C209,-0.3,55.2,11.9015,105.045,48854600.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,3.3,0.5117707267144339,89.1,4.9,8,5,2005,1
ATUS US,Altice USA Inc,1.9,9.8,1.9,2151.73,246.751,30.0,22112.1,02156K103,6.2,2151.73,246.751,121.565,328636000.0,27 - 31,Priced Within Range,Communications,Media,Cable/Satellite TV,0.91,0.0907111014861139,95.0,4.3,6,22,2017,1
ATXI US,Avenue Therapeutics Inc,,,-478.0,37.95,9.6665,6.0,57.999,05360L304,-3.3,37.95,9.6665,14.7201,702636.0,7-May,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.91,0.0907111014861139,95.0,4.3,6,27,2017,1
ATXS US,Astria Therapeutics Inc,,,-35.6,69.0,15.25,12.0,183.0,04635X102,-3.3,69.0,15.25,62.5702,10527900.0,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.12,0.3502869998528119,96.1,5.3,6,25,2015,1
AURDQ US,Accuride Corp/Old,-38.7,-24.5,-18.9,99.0,32.6227,9.0,293.6,4398103,-0.2,99.0,32.6227,,,12-Oct,Priced Below Range,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,2.83,0.672529746508014,87.7,5.2,4,26,2005,0
