Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced?
71.3,-101.0,-33.7,34.5,19.2833,6.0,115.7,-5.4,34.5,19.2833,115.012,141497000.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.03,0.5851063829787189,90.2,5.6,5,27,2004,1
151.1,-214.7,-28.9,88.55,15.4517,14.0,216.324,-0.6,88.55,15.4517,104.342,47908200.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.12,0.3502869998528119,96.1,5.3,6,17,2015,1
21.1,6.9,3.5,112.7,45.3714,14.0,635.2,2.0,112.7,45.3714,99.0231,49423200.0,"Consumer, Non-cyclical",Commercial Services,Protection-Safety,0.12,0.3502869998528119,96.1,5.3,6,26,2015,1
,,-72.1,56.25,14.7102,15.0,220.653,-5.3,56.25,14.7102,33.032,1500040.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.91,0.0907111014861139,95.0,4.3,6,29,2017,0
-2.2,22.4,1.2,60.06,16.6761,21.0,350.198,8.6,60.06,16.6761,45.823,9158760.0,Financial,Banks,Commer Banks-Central US,2.13,0.0783448576930001,93.2,3.5,9,13,2019,1
,,5.1,26.4,14.6373,6.0,87.82,,26.4,14.6373,,,Technology,Software,Educational Software,1.03,0.539956803455712,94.4,5.6,2,6,2004,1
15.4,18.4,11.1,690.345,181.376,23.0,4171.65,5.9,690.345,181.376,114.241,105662000.0,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,0.11,0.7594558623930859,76.2,8.2,3,15,2012,1
-0.7,34.4,1.3,41.6875,17.4459,14.5,247.528,2.7,41.6875,17.4459,3.2301,610084.0,Financial,Banks,Commer Banks-Western US,0.12,0.3502869998528119,96.1,5.3,6,11,2015,1
,,-30.6,90.0,22.8,18.0,410.4,,90.0,22.8,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,5.78,0.8244994110718371,107.1,4.0,3,28,2000,0
13.2,-1.6,-5.3,179.4,23.1875,13.0,301.438,0.8,179.4,23.1875,104.015,54501400.0,Technology,Software,Computer Aided Design,1.16,0.0024324685907436,98.5,4.2,11,1,2017,1
-92.4,-4471.1,-110.4,120.75,22.0519,15.0,330.78,-2.6,120.75,22.0519,0.804907,250576.0,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,4.09,0.7621951219512159,91.2,4.7,1,26,2006,1
,1715.7,5.0,300.0,30.0,10.0,300.0,-0.019234,300.0,30.0,1.302,65817.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7,12,9,2020,1
,,-61.7,317.688,63.6069,17.0,1081.32,-1.6,317.688,63.6069,52.9381,49318700.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.5058243501670088,72.5,10.2,7,30,2020,1
-9.6,-424.0,-90.2,50.6,23.4714,8.0,187.77,-1.6,50.6,23.4714,,,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,4.52,0.55359838953198,88.9,4.7,3,8,2006,1
,,-33.7,185.725,35.9866,19.0,683.745,-1.6,185.725,35.9866,105.661,43062600.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.5058243501670088,72.5,10.2,7,17,2020,1
-0.2,36.9,5.8,875.375,186.17,23.5,4375.0,1.4,875.375,186.17,86.0391,411684000.0,Energy,Pipelines,Pipelines,0.91,0.0854721826896363,97.1,4.4,5,4,2017,0
48.8,-7.9,-6.6,41.4,25.9095,6.0,155.457,1.0,41.4,25.9095,97.7385,37548000.0,Technology,Semiconductors,Electronic Compo-Semicon,0.15,-0.0388925140553232,82.6,7.8,10,10,2012,1
53.6,-41.3,-35.5,65.0,17.7126,8.0,141.7,-2.4,65.0,17.7126,,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.14,0.178040777358723,84.5,7.5,5,16,2013,0
7.7,-15.9,-10.5,110.504,24.7889,13.0,322.26,0.1,110.504,24.7889,0.44504,126563.0,Technology,Software,Data Processing/Mgmt,0.06,0.6440044126228239,80.0,6.7,3,21,2014,1
103.4,-50.2,-8.1,378.949,21.5533,18.0,387.96,-1.2,378.949,21.5533,32.6353,173527000.0,"Consumer, Cyclical",Entertainment,Theaters,0.07,-0.0085811497882589,82.5,6.7,12,18,2013,1
-12.2,7.5,2.3,96.966,15.5584,9.0,140.03,1.3,96.966,15.5584,,,Financial,Insurance,Property/Casualty Ins,4.47,0.2017145738779499,86.7,4.8,2,10,2006,0
,,-24.0,88.35,21.202,19.0,402.838,,88.35,21.202,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.86,0.23201856148492,108.3,4.0,7,27,2000,1
-29.2,-85.7,-134.6,18.85,4.3639,13.0,56.73,-1.0,18.85,4.3639,,,"Consumer, Non-cyclical",Commercial Services,Commercial Services,5.0,0.8508508508508341,87.4,4.7,4,27,2006,1
10.2,14.5,2.0,811.763,184.857,16.0,2957.71,1.8,811.763,184.857,100.872,355886000.0,Financial,REITS,REITS-Apartments,0.08,0.12029315570472,82.1,7.2,8,1,2013,0
,,-31.4,100.0,10.0,10.0,100.0,-2.9,100.0,10.0,0.06577,6577.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.57,-0.0536243034669465,96.8,3.6,11,20,2019,0
1.6,4.7,3.6,600.0,71.8649,20.0,1437.3,0.9,600.0,71.8649,,,Technology,Semiconductors,Electronic Compo-Semicon,1.01,0.3250270855904668,87.7,6.1,9,24,2003,1
22.2,4.8,6.3,316.25,72.4,22.0,1592.8,1.7,316.25,72.4,97.5576,72043400.0,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,2.39,0.1670941622453379,98.4,3.7,7,18,2019,1
4.4,16.0,8.2,68.75,27.189,11.0,299.079,1.5,68.75,27.189,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,6.51,0.0,107.3,4.1,8,11,2000,1
66.4,8.2,16.7,195.5,40.7146,17.0,692.15,6.4,195.5,40.7146,112.655,48820200.0,"Consumer, Non-cyclical",Commercial Services,Human Resources,2.61,-0.1688238604389349,83.9,5.5,11,13,2001,1
25.1,14.1,11.2,64.4,44.6059,7.0,312.24,2.0,64.4,44.6059,65.3957,31606500.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.08,0.1862126944094109,82.5,6.1,6,25,2014,1
17.7,5.8,4.2,90.3971,40.7462,10.0,407.46,-3.3,90.3971,40.7462,97.77,33157900.0,Utilities,Electric,Electric-Integrated,0.17,0.0211043057371508,67.8,9.4,7,22,2010,1
14.7,31.4,1.5,58.1448,4.4657,14.0,62.52,1.2,58.1448,4.4657,,,Financial,REITS,REITS-Shopping Centers,0.09,-0.162978586182561,72.3,8.2,7,27,2012,1
97.4,-79.2,-34.3,97.52,41.228,16.0,659.65,-0.6,97.52,41.228,67.5537,219677000.0,Basic Materials,Chemicals,Chemicals-Specialty,0.19,0.0581736230715569,68.2,9.5,9,28,2010,1
-6.9,20.8,2.7,76.3717,17.4241,9.0,156.82,1.9,76.3717,17.4241,103.985,19919200.0,Financial,Insurance,Property/Casualty Ins,3.99,-0.8032128514056259,81.6,5.0,11,18,2005,0
3.3,-1299.8,-84.8,15.0,20.4231,5.0,102.115,-0.2,15.0,20.4231,4.98185,1509520.0,Technology,Software,Educational Software,0.09,0.13927469432666,80.4,7.8,9,25,2020,1
10.3,34.6,1.3,84.877,26.344,13.0,342.472,1.8,84.877,26.344,40.0257,13518400.0,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,2.2,-0.319396281513109,98.3,3.9,12,19,2018,0
-60.3,-19.5,-0.4,200.0,10.27,20.0,205.4,1.5,200.0,10.27,,,Financial,REITS,REITS-Mortgage,0.08,0.0886045666793554,63.7,9.0,7,22,2011,0
,,-72.5,177.1,34.0506,14.0,453.608,-2.2,177.1,34.0506,77.4369,30156300.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.05,0.5472046927775109,78.1,11.0,6,5,2020,1
92.8,25.5,-0.7,414.0,41.4,10.0,414.0,1.8,414.0,41.4,,,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,5.3,-0.1833902227087109,83.4,4.6,8,2,2007,1
3.0,-69.7,-18.9,853.301,198.164,18.0,3566.96,-0.5,853.301,198.164,54.7592,132771000.0,"Consumer, Non-cyclical",Healthcare-Services,Medical-Outptnt/Home Med,0.09,0.13927469432666,80.4,7.8,9,17,2020,1
-15.7,-91.4,-25.8,86.25,19.9093,15.0,298.639,-1.6,86.25,19.9093,116.819,33213600.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.55,0.582772789025459,98.5,4.7,1,26,2017,1
7.3,9.8,0.5,25.5,0.0,10.0,0.0,3.0,25.5,0.0,10.8023,268333.0,Financial,Banks,Commer Banks-Western US,0.13,0.4763230053974139,74.2,9.1,1,26,2011,0
,-106.3,-126.6,108.0,13.675,10.0,136.75,-2.5,108.0,13.675,0.0619918,5590.0,"Consumer, Non-cyclical",Food,Food-Confectionery,2.4,0.1906596665246839,91.2,4.0,1,29,2019,0
,,-127.3,48.9576,21.4369,7.0,150.06,-0.3,48.9576,21.4369,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.04,0.644468313641263,95.8,5.8,3,26,2004,1
,30.6,6.9,313.95,17.2049,21.0,361.3,4.7,313.95,17.2049,0.201548,495064.0,Energy,Pipelines,Pipelines,0.11,0.6439429535456989,69.8,9.1,4,20,2011,1
27.2,28.5,20.0,259.612,64.3699,43.0,2767.91,3.3,259.612,64.3699,70.4188,215181000.0,Communications,Telecommunications,Networking Products,0.08,0.1862126944094109,82.5,6.1,6,6,2014,1
8.6,-8.4,-5.8,24.6675,11.15,11.0,122.65,-0.1,24.6675,11.15,98.0723,38353900.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,1.03,0.5851063829787189,90.2,5.6,5,27,2004,1
,,-46.5,288.362,35.9712,17.0,611.51,-2.7,288.362,35.9712,105.062,50041300.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.5058243501670088,72.5,10.2,7,24,2020,1
59.4,12.7,-6.6,644.575,62.2126,19.0,1182.04,9.4,644.575,62.2126,0.162542,361675.0,Energy,Coal,Coal,2.4,0.576822233875206,94.1,5.4,2,15,2005,1
496.0,-33951.6,-163.2,110.4,26.1133,16.0,417.81,-1.8,110.4,26.1133,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.03,0.539956803455712,94.4,5.6,2,12,2004,1
,,20.2,13.5125,3.60127,5.0,18.01,,13.5125,3.60127,,,Communications,Internet,Internet Content-Info/Ne,1.86,0.5265929436545569,91.7,5.5,10,13,2004,1
17.7,5.2,12.0,310.5,33.6015,18.0,604.83,2.4,310.5,33.6015,,,Technology,Computers,Computer Services,1.78,0.562429696287966,95.7,5.7,3,12,2002,1
,,-144.3,46.2314,21.587,7.0,151.11,-3.5,46.2314,21.587,0.00117268,307.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.14,0.4106283536571079,73.6,9.9,3,1,2010,1
,,-70.2,13.8,6.8182,6.0,40.9092,-1.2,13.8,6.8182,9.76792,797445.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.55,0.3879769937814869,99.8,3.6,1,29,2020,1
,,,3715.91,0.0,20.0,0.0,,3715.91,0.0,59.9182,63172400.0,Financial,Closed-end Funds,Closed-end Funds,5.17,0.3052527254707629,96.9,4.6,1,26,2007,1
-19.5,-145.3,-324.5,200.0,260.4,8.0,2083.2,-0.1,200.0,260.4,,,Communications,Internet,Web Portals/ISP,6.51,0.0,107.3,4.1,8,8,2000,1
,4.2,11.6,215.0,21.5,10.0,200.0,-0.4,215.0,21.5,0.855818,230001.0,Technology,Computers,Computers-Other,0.1,0.315321052408127,74.1,8.4,8,18,2020,1
63.5,-161.9,-66.3,428.316,98.1805,13.5,1325.44,-2.0,428.316,98.1805,,,Industrial,Electrical Compo&Equip,Batteries/Battery Sys,0.15,0.0625480693495816,73.5,9.8,9,24,2009,1
18.3,58.2,39.5,91.5477,22.0875,18.0,397.57,8.1,91.5477,22.0875,83.3509,22844800.0,Technology,Semiconductors,Electronic Compo-Semicon,0.17,0.1736884910697429,72.2,9.9,4,29,2010,0
36.4,27.4,22.3,381.369,12.7123,30.0,381.37,6.6,381.369,12.7123,92.5844,62875000.0,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,0.14,0.2614508584374949,78.6,7.5,3,7,2013,1
30.1,4.2,-14.3,107.812,17.7519,20.0,355.04,0.9,107.812,17.7519,111.478,21060400.0,"Consumer, Non-cyclical",Commercial Services,Schools,4.59,0.5939617873415811,76.1,4.7,11,8,2007,1
-2.6,8.6,12.3,449.19,78.586,21.0,1650.31,2.7,449.19,78.586,0.00137208,1073.0,"Consumer, Cyclical",Food Service,Food-Catering,0.41,-0.161813640474981,90.0,4.8,7,15,2016,1
34.1,-45.1,-32.2,86.955,29.0874,17.0,494.486,-0.7,86.955,29.0874,,,Technology,Software,Computer Software,0.12,0.2032873254587689,95.9,5.4,4,24,2015,0
-10.7,-1.9,-0.9,125.359,58.4287,9.5,555.07,0.8,125.359,58.4287,,,Communications,Telecommunications,Networking Products,5.34,-0.542138984721521,93.6,4.4,10,13,2006,1
32.4,7.7,4.7,19.5,0.0,13.0,0.0,3.5,19.5,0.0,,,Energy,Pipelines,Pipelines,3.99,0.2970885323826589,112.0,4.0,1,27,2000,0
15.3,8.5,2.5,132.825,7.15,21.0,150.15,3.2,132.825,7.15,100.0,70231000.0,Energy,Oil&Gas Services,Oil-Field Services,5.34,-0.542138984721521,93.6,4.4,10,17,2006,1
-73.4,-1121.2,-90.6,172.495,50.864,14.0,712.096,-6.6,172.495,50.864,107.752,119147000.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.16,0.0024324685907436,98.5,4.2,11,9,2017,1
,,-97.2,40.0,17.0522,10.0,170.522,-3.5,40.0,17.0522,67.6416,32507800.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.45,0.2128758589384109,100.0,3.6,5,14,2019,0
-3.9,-11.3,-36.0,120.0,18.75,8.0,150.0,,120.0,18.75,9.8507,1961350.0,"Consumer, Cyclical",Apparel,Apparel Manufacturers,4.03,-0.4048582995951299,91.5,4.9,12,16,2005,0
15.9,0.2,-12.5,85.56,7.13,12.0,85.56,1.0,85.56,7.13,86.6012,17679400.0,Technology,Software,Applications Software,0.12,0.3502869998528119,96.1,5.3,6,26,2015,1
21.2,-24.0,-30.0,86.25,7.1875,12.0,704.255,-0.7,86.25,7.1875,81.8299,33591000.0,Technology,Software,Enterprise Software/Serv,0.91,0.0854721826896363,97.1,4.4,5,25,2017,1
11.0,5.3,2.2,165.6,48.0681,16.0,769.09,0.0773789,165.6,48.0681,0.345165,555000.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,2.06,-0.3945885005637069,88.8,5.7,12,14,2001,1
,,-219.9,97.7505,20.7265,15.0,310.897,-1.7,97.7505,20.7265,8.00506,4242510.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.88,0.2286190552229999,95.5,3.6,10,3,2019,1
2.1,-18.7,-61.1,300.0,30.0427,10.0,1890.58,-2.2,300.0,30.0427,15.457,6117660.0,"Consumer, Non-cyclical",Food,Food-Retail,0.91,0.0907111014861139,95.0,4.3,6,29,2017,0
,,-2.5,81.4,13.2451,22.0,291.392,,81.4,13.2451,,,Communications,Internet,Internet Applic Sftwr,5.79,0.592417061611377,111.3,4.1,2,16,2000,1
,,0.7,816.81,81.681,10.0,816.81,,816.81,81.681,0.00296519,2422.0,"Consumer, Cyclical",Leisure Time,Travel Services,0.09,0.0414937759336148,81.8,6.9,10,2,2020,0
17.4,-13.5,-7.9,110.4,6.9,16.0,596.573,0.2,110.4,6.9,0.302104,137660.0,Technology,Software,Enterprise Software/Serv,0.4,0.2403995864628979,91.2,5.0,9,23,2016,1
-9.9,4.5,0.3,46.0736,5.1441,10.0,51.44,3.5,46.0736,5.1441,12.2194,7874540.0,Financial,REITS,REITS-Diversified,0.11,0.6439429535456989,69.8,9.1,4,1,2011,0
-36.0,-7488.6,-69.3,117.76,33.4962,16.0,535.939,-0.9,117.76,33.4962,51.1611,34644100.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.7,0.1593875701543719,98.2,4.0,6,21,2018,1
26.6,-18.3,-14.2,350.0,35.81,10.0,358.1,0.0355236,350.0,35.81,0.0245462,8790.0,Technology,Software,Computer Software,2.13,0.0783448576930001,93.2,3.5,9,17,2019,1
16.8,-8.0,-19.5,70.5663,33.3438,9.0,300.094,0.2,70.5663,33.3438,14.2008,5124410.0,Technology,Semiconductors,Semiconductor Equipment,1.16,0.0024324685907436,98.5,4.2,11,3,2017,1
60.1,-10516.1,-44.7,36.2095,0.0,5.0,0.0,-0.1,36.2095,0.0,18.3638,14394800.0,Industrial,Environmental Control,Recycling,0.13,0.0067047159295661,93.1,5.2,7,31,2015,1
,,6.4,126.0,55.673,24.0,1336.15,,126.0,55.673,,,Communications,Internet,E-Marketing/Info,5.79,0.592417061611377,111.3,4.1,2,28,2000,1
10.8,-138.7,-121.2,73.8855,24.4257,15.0,366.385,-0.8,73.8855,24.4257,30.0102,16252300.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.91,0.006746326228517,97.9,3.8,7,25,2018,1
2.4,3.5,2.8,575.001,113.282,18.0,2039.08,1.5,575.001,113.282,111.045,135266000.0,Industrial,Environmental Control,Water Treatment Systems,1.16,0.0024324685907436,98.5,4.2,11,2,2017,1
27.3,-3.4,14.8,1802.41,265.624,44.0,11687.5,5.3,1802.41,265.624,89.9989,270119000.0,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.08,-0.2575283259804639,73.2,7.2,10,10,2013,1
2.0,-1.6,-0.7,189.75,30.8448,22.0,653.836,1.2,189.75,30.8448,0.276124,95382.4,"Consumer, Non-cyclical",Healthcare-Services,Dialysis Centers,0.37,0.4741067979104,89.0,5.1,4,21,2016,1
30.9,-526.0,-78.7,144.9,24.164,21.0,507.44,-1.6,144.9,24.164,14.8557,8887720.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.06,0.6440044126228239,80.0,6.7,3,21,2014,1
8.4,-1.2,-2.0,331.2,52.2124,18.0,939.82,-0.02606,331.2,52.2124,66.3886,62258400.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.29,0.535036755987662,91.3,4.5,2,8,2007,1
,,2.7,230.0,23.0,10.0,230.0,-0.1,230.0,23.0,3.39935,781850.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,-0.0610627217844137,76.9,6.7,11,20,2020,0
,,-27.7,131.525,23.9608,17.5,419.31,,131.525,23.9608,,,Communications,Telecommunications,Cellular Telecom,2.04,-0.3664921465968529,97.1,5.4,12,16,2004,1
-5.9,3.3,3.6,195.459,43.9087,13.0,570.81,0.8,195.459,43.9087,52.1031,22417700.0,"Consumer, Non-cyclical",Commercial Services,Printing-Commercial,2.4,0.576822233875206,94.1,5.4,2,4,2005,1
20.4,86.1,3.9,165.0,17.0168,15.0,255.25,-5.5,165.0,17.0168,34.4133,178075000.0,Financial,Investment Companies,Investment Companies,1.86,0.5265929436545569,91.7,5.5,10,5,2004,1
24.9,16.3,4.1,118.594,25.1067,16.5,414.26,1.0,118.594,25.1067,,,Communications,Internet,Internet Content-Info/Ne,0.11,0.0707753368767078,67.4,9.9,11,20,2009,1
-6.1,17.3,1.7,69.75,5.853,12.5,73.16,,69.75,5.853,3.15e-05,72.29,Financial,REITS,REITS-Office Property,0.08,0.1518462115694609,59.5,9.0,9,7,2011,0
28.8,14.2,1.3,128.951,6.7869,19.0,128.95,2.8,128.951,6.7869,,,Energy,Pipelines,Pipelines,0.08,-0.204242419052338,75.1,6.9,11,6,2013,0
,,,320.0,0.0,20.0,0.0,,320.0,0.0,60.1398,13809500.0,Financial,Closed-end Funds,Closed-end Funds,0.17,-0.4738086694881878,82.7,7.7,11,28,2012,0
,,-2.4,63.0,45.3269,9.0,407.94,,63.0,45.3269,,,Technology,Software,Applications Software,6.52,0.5208333333333119,106.8,3.9,9,29,2000,0
53.5,-2748.7,-324.5,28.5064,7.9994,13.0,103.992,-1.8,28.5064,7.9994,17.2665,3056440.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.91,0.0555542328357295,96.2,3.8,8,14,2018,0
33.3,-1566.4,-80.1,69.0046,18.5291,14.0,259.41,-1.4,69.0046,18.5291,41.4247,77654600.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.1862126944094109,82.5,6.1,6,19,2014,1
108.4,8.7,0.8,220.199,80.6677,19.0,1532.69,-15.8,220.199,80.6677,99.8473,173155000.0,Financial,Private Equity,Private Equity,0.09,0.3492609840048699,81.9,6.3,5,2,2014,0
5.9,-18.6,-4.5,105.8,20.4058,12.0,244.87,0.3,105.8,20.4058,0.483565,452764.0,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4.59,0.5939617873415811,76.1,4.7,11,8,2007,1
206.0,-22.8,-23.1,29.6004,4.76255,8.0,38.1,-0.2,29.6004,4.76255,,,"Consumer, Non-cyclical",Commercial Services,Security Services,4.09,0.7621951219512159,91.2,4.7,1,25,2006,0
100.9,-2136.3,-84.5,49.8296,19.6527,8.0,157.22,-11.7,49.8296,19.6527,0.11898,12596.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.07,0.3697908650968729,81.6,6.7,2,7,2014,0
-2.8,56.5,3.4,200.0,21.525,20.0,430.5,1.4,200.0,21.525,67.7091,95196300.0,Financial,REITS,REITS-Mortgage,0.15,0.0625480693495816,73.5,9.8,9,24,2009,0
-25.3,29.8,9.9,205.275,21.2078,21.0,445.36,6.8,205.275,21.2078,0.187871,35853.0,Industrial,Miscellaneous Manufactur,Miscellaneous Manufactur,4.09,0.7621951219512159,91.2,4.7,1,20,2006,1
21.8,-12.8,-13.3,187.957,74.2473,16.0,1187.96,-0.2,187.957,74.2473,74.615,66013200.0,"Consumer, Non-cyclical",Commercial Services,Traffic Management Sys,1.91,0.0555542328357295,96.2,3.8,8,3,2018,1
,,,130.0,0.0,25.0,0.0,,130.0,0.0,16.1177,838798.0,Financial,Closed-end Funds,Closed-end Funds,0.08,-0.2575283259804639,73.2,7.2,10,29,2013,0
-5.7,-0.7,1.0,833.75,229.837,20.0,4596.74,2.7,833.75,229.837,127.998,329873000.0,"Consumer, Cyclical",Food Service,Food-Catering,0.07,-0.0085811497882589,82.5,6.7,12,12,2013,1
,,,147.2,30.4051,17.0,516.887,-30.0,147.2,30.4051,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.33,0.5447745452775409,95.7,4.0,1,26,2018,1
-83.0,-1.14,-62.4,108.0,20.9966,18.0,377.939,-7.4,108.0,20.9966,29.7346,18334200.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.86,0.23201856148492,108.3,4.0,7,28,2000,1
-18.0,-9.0,-28.5,258.75,34.0405,18.0,612.73,-0.8,258.75,34.0405,0.0345968,27900.0,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,1.88,0.0,96.9,5.8,5,16,2002,1
6067.4,-101.8,,170.0,32.2184,34.0,1095.43,,170.0,32.2184,,,Communications,Telecommunications,Networking Products,5.78,0.8244994110718371,107.1,4.0,3,31,2000,1
,,-69.3,183.282,38.0332,17.0,646.564,-3.5,183.282,38.0332,114.365,69680200.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.55,0.3879769937814869,99.8,3.6,1,31,2020,1
-2.2,-5.9,-0.9,1201.75,126.994,22.0,2793.87,-2.0,1201.75,126.994,119.766,180236000.0,Energy,Energy-Alternate Sources,Energy-Alternate Sources,0.09,0.0414937759336148,81.8,6.9,10,15,2020,1
,,-21.7,718.748,27.6511,26.0,718.93,,718.748,27.6511,,,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,0.15,0.0625480693495816,73.5,9.8,9,24,2009,1
-49.7,-394.9,-124.8,60.0,37.2965,12.0,447.558,-0.1,60.0,37.2965,,,Communications,Internet,Internet Content-Info/Ne,5.78,0.8244994110718371,107.1,4.0,3,27,2000,0
,-201.9,-136.9,31.74,16.3243,6.0,97.95,-1.4,31.74,16.3243,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.27,0.148883374689833,91.7,4.4,12,20,2006,1
21.4,-3.9,-0.3,101.2,75.141,11.0,826.55,1.0,101.2,75.141,,,Communications,Telecommunications,Wireless Equipment,5.31,0.910569585108543,88.4,4.4,3,27,2007,1
114.2,-408.9,-22.7,123.208,32.3592,16.0,517.747,11.1,123.208,32.3592,98.1285,52231400.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Generic Drugs,1.91,0.116202517589025,100.1,3.7,9,27,2018,1
-3.8,-16.1,-5.9,267.154,82.25,13.5,1110.38,0.8,267.154,82.25,,,Technology,Semiconductors,Semicon Compo-Intg Circu,0.2,0.0420646423819506,71.6,9.8,11,19,2010,0
38.6,9.2,13.1,155.423,31.9682,17.0,543.46,0.1,155.423,31.9682,,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,3.36,0.4627249357326559,96.5,5.0,7,20,2005,1
,,-0.9,143.75,14.375,10.0,143.75,-0.0225377,143.75,14.375,18.7697,3372670.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,2.18,0.1766763455725869,98.6,3.8,10,5,2018,1
,,-56.6,149.5,15.41,10.0,134.6,-1.3,149.5,15.41,0.208495,31170.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.05,0.5472046927775109,78.1,11.0,6,5,2020,1
,,-145.1,50.0,17.5366,10.0,175.37,-1.2,50.0,17.5366,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4.59,0.5939617873415811,76.1,4.7,11,7,2007,0
,,5.4,250.0,25.0,10.0,250.0,-0.0141352,250.0,25.0,0.619152,154788.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9,10,2,2020,0
9.5,3.7,0.1,55.8455,0.0,10.0,0.0,1.3,55.8455,0.0,0.00245511,93.0,Financial,Banks,Commer Banks-Southern US,0.06,-0.206268263335836,60.8,8.8,10,12,2011,1
29976.4,-0.7,-43.8,41.4,8.5667,6.0,51.4,-0.0284548,41.4,8.5667,,,Communications,Advertising,Advertising Services,4.84,0.4962779156327429,79.1,4.6,5,12,2006,1
-58.5,-363.5,-60.7,93.75,40.5907,15.0,608.86,-0.6,93.75,40.5907,,,Communications,Telecommunications,Telecommunication Equip,6.6,0.1727115716753108,105.8,3.9,10,4,2000,1
,,,177.0,0.0,20.0,0.0,,177.0,0.0,18.8531,1669440.0,Financial,Closed-end Funds,Closed-end Funds,0.08,0.5058243501670088,72.5,10.2,7,29,2020,0
-92.0,-2076.3,-70.6,20.01,7.1814,6.0,43.09,-2.1,20.01,7.1814,39.3512,19195500.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.2,0.1718440789203088,74.5,9.3,12,17,2010,1
